15:41:00.112,X-acceleration: -3.54 mg Y-acceleration: -6.29 mg Z-acceleration: 928.71 mg
15:41:00.207,X-gyro rate: 0.053 degrees/sec Y-gyro rate: 0.320 degrees/sec Z-gyro rate: 0.122 degrees/sec
15:41:00.301,X-mag field: 419.42 mG Y-mag field: 295.95 mG Z-mag field: 267.04 mG
15:41:00.347,Temperature is 25.6 degrees C
15:41:00.863,X-acceleration: -0.43 mg Y-acceleration: -20.26 mg Z-acceleration: 910.28 mg
15:41:00.910,X-gyro rate: -0.114 degrees/sec Y-gyro rate: 0.298 degrees/sec Z-gyro rate: -0.084 degrees/sec
15:41:01.003,X-mag field: 417.60 mG Y-mag field: 301.40 mG Z-mag field: 300.21 mG
15:41:01.097,Temperature is 25.6 degrees C
15:41:01.566,X-acceleration: -6.65 mg Y-acceleration: -46.14 mg Z-acceleration: 899.54 mg
15:41:01.660,X-gyro rate: -0.046 degrees/sec Y-gyro rate: 0.481 degrees/sec Z-gyro rate: 0.031 degrees/sec
15:41:01.753,X-mag field: 412.16 mG Y-mag field: 285.06 mG Z-mag field: 249.59 mG
15:41:01.800,Temperature is 25.6 degrees C
15:41:02.269,X-acceleration: -1.10 mg Y-acceleration: -63.11 mg Z-acceleration: 950.50 mg
15:41:02.370,X-gyro rate: 0.000 degrees/sec Y-gyro rate: -0.092 degrees/sec Z-gyro rate: 0.031 degrees/sec
15:41:02.465,X-mag field: 412.16 mG Y-mag field: 285.06 mG Z-mag field: 281.01 mG
15:41:02.559,Temperature is 25.6 degrees C
15:41:02.981,X-acceleration: 7.87 mg Y-acceleration: -51.45 mg Z-acceleration: 1002.93 mg
15:41:03.075,X-gyro rate: 0.206 degrees/sec Y-gyro rate: -0.137 degrees/sec Z-gyro rate: 0.038 degrees/sec
15:41:03.215,X-mag field: 397.63 mG Y-mag field: 288.69 mG Z-mag field: 246.10 mG
15:41:03.262,Temperature is 25.6 degrees C
15:41:03.731,X-acceleration: -8.54 mg Y-acceleration: -23.07 mg Z-acceleration: 971.19 mg
15:41:03.824,X-gyro rate: 0.000 degrees/sec Y-gyro rate: 0.031 degrees/sec Z-gyro rate: 0.191 degrees/sec
15:41:03.918,X-mag field: 397.63 mG Y-mag field: 292.32 mG Z-mag field: 239.12 mG
15:41:04.012,Temperature is 25.6 degrees C
15:41:04.480,X-acceleration: 8.00 mg Y-acceleration: -29.97 mg Z-acceleration: 975.22 mg
15:41:04.527,X-gyro rate: 0.061 degrees/sec Y-gyro rate: 0.053 degrees/sec Z-gyro rate: 0.183 degrees/sec
15:41:04.621,X-mag field: 419.42 mG Y-mag field: 288.69 mG Z-mag field: 277.52 mG
15:41:04.715,Temperature is 25.6 degrees C
15:41:05.183,X-acceleration: -8.73 mg Y-acceleration: -27.95 mg Z-acceleration: 910.95 mg
15:41:05.277,X-gyro rate: -0.259 degrees/sec Y-gyro rate: 0.328 degrees/sec Z-gyro rate: 0.160 degrees/sec
15:41:05.371,X-mag field: 424.87 mG Y-mag field: 279.61 mG Z-mag field: 314.17 mG
15:41:05.418,Temperature is 25.7 degrees C
15:41:05.886,X-acceleration: 5.25 mg Y-acceleration: -45.29 mg Z-acceleration: 914.18 mg
15:41:05.980,X-gyro rate: 0.000 degrees/sec Y-gyro rate: 0.031 degrees/sec Z-gyro rate: -0.191 degrees/sec
15:41:06.074,X-mag field: 406.71 mG Y-mag field: 294.14 mG Z-mag field: 251.34 mG
15:41:06.168,Temperature is 25.7 degrees C
15:41:06.636,X-acceleration: -21.24 mg Y-acceleration: -66.71 mg Z-acceleration: 897.64 mg
15:41:06.730,X-gyro rate: -0.320 degrees/sec Y-gyro rate: 0.275 degrees/sec Z-gyro rate: -0.130 degrees/sec
15:41:06.824,X-mag field: 412.16 mG Y-mag field: 292.32 mG Z-mag field: 267.04 mG
15:41:06.871,Temperature is 25.7 degrees C
15:41:07.347,X-acceleration: 2.87 mg Y-acceleration: -62.32 mg Z-acceleration: 969.24 mg
